"","BALLOT","NATEDUC","NATDRUG","NATCRIME","NATCITY","NATHEAL","NATENVIR","NATSPAC","POLVIEWS","NATRACE","NATARMS","NATAID","NATENRGY","NATSCI","NATCHLD","NATPARK","NATMASS","NATSOC","NATROAD","NATFARE","IF12WHO","VOTE12","CHILDS","DIVORCE","AGEWED","MARITAL","EVWORK","HRS1","WRKSTAT","ID_","AGE","EDUC","DEGREE","PARTYID","INCOME","HOMPOP","RACE","SEX","SPDEG","MADEG","PADEG","YEAR"
"57",2,0,0,0,0,0,0,0,4,0,0,0,2,1,1,2,2,1,2,0,0,1,3,0,0,3,0,40,1,57,40,17,4,1,12,4,1,2,7,1,3,2016
"58",2,1,1,1,1,1,2,3,3,1,1,1,1,1,1,1,1,1,1,3,0,1,2,0,0,3,0,40,1,58,57,17,4,1,12,1,1,2,7,4,3,2016
"59",3,8,1,9,9,3,1,1,2,1,3,8,2,2,1,2,2,8,1,8,0,1,2,0,0,3,0,40,1,59,59,20,4,0,8,1,1,2,7,4,4,2016
"60",1,0,0,0,0,0,0,0,5,0,0,0,2,1,2,2,1,2,1,0,0,1,3,0,0,5,0,-1,4,60,35,10,0,0,9,5,1,2,-1,0,7,2016
"61",3,2,2,2,2,2,2,2,4,1,2,2,1,2,1,1,2,2,2,1,0,1,0,0,0,5,0,37,1,61,26,13,1,3,11,1,2,1,7,2,7,2016
"62",2,2,1,2,2,2,2,2,6,2,3,3,2,1,2,2,2,2,2,2,1,2,2,2,0,2,0,-1,4,62,35,12,1,3,1,2,2,1,7,1,1,2016
"63",3,1,2,1,2,2,2,1,4,1,2,3,3,3,1,1,3,1,1,2,0,1,3,0,0,4,2,-1,8,63,51,12,1,3,8,1,2,2,7,1,7,2016
"64",2,0,0,0,0,0,0,0,3,0,0,0,1,2,1,1,1,1,3,0,0,1,3,0,0,3,1,-1,6,64,39,13,1,1,12,3,2,2,7,1,1,2016
"65",1,2,1,2,2,2,2,3,4,2,2,1,3,2,1,2,3,2,2,3,1,2,2,0,0,5,2,-1,7,65,27,11,1,1,2,3,3,2,7,0,7,2016
"66",3,0,0,0,0,0,0,0,7,0,0,0,1,2,1,1,3,1,2,0,0,1,2,0,0,5,0,40,1,66,30,10,0,0,12,3,3,1,-1,3,1,2016
"67",2,1,9,2,2,2,1,3,3,3,3,3,1,2,1,2,1,1,2,2,3,3,2,0,0,5,0,40,1,67,29,12,1,4,11,2,3,1,7,0,7,2016
"68",1,0,0,0,0,0,0,0,7,0,0,0,1,1,1,2,1,1,1,0,0,1,6,0,0,5,0,-1,3,68,39,10,0,1,1,4,2,2,7,7,7,2016
"69",1,1,1,1,1,2,2,2,5,1,1,1,1,1,1,1,1,1,1,1,9,8,3,0,0,3,1,-1,8,69,60,11,0,0,98,4,2,2,7,7,0,2016
"70",1,0,0,0,0,0,0,0,4,0,0,0,3,3,1,2,3,1,2,0,0,1,4,2,0,2,2,-1,5,70,74,6,0,1,10,1,3,2,7,0,0,2016
"71",1,1,1,1,1,2,2,3,8,1,1,8,1,1,1,1,3,1,1,2,1,2,5,0,0,5,1,-1,5,71,74,10,0,1,9,1,2,2,7,0,0,2016
"72",1,0,0,0,0,0,0,0,4,0,0,0,1,2,1,1,2,1,2,0,0,1,2,0,0,3,0,35,1,72,57,14,3,0,12,1,2,2,7,4,3,2016
"73",2,1,1,1,1,2,1,2,4,1,3,1,1,8,1,2,1,1,1,9,0,1,1,2,0,2,1,-1,5,73,80,11,1,1,12,1,2,1,7,2,8,2016
"74",2,0,0,0,0,0,0,0,5,0,0,0,1,1,2,1,2,1,1,0,0,1,4,0,0,3,1,-1,5,74,70,12,1,0,11,1,2,1,7,0,7,2016
"75",1,1,1,2,2,3,1,1,3,1,2,2,1,1,1,1,1,2,1,3,0,1,2,2,0,1,0,14,2,75,35,18,3,2,12,4,2,2,1,0,1,2016
"76",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,4,0,0,5,2,-1,7,76,49,10,0,3,98,2,2,2,7,8,7,2016
"77",1,1,1,3,8,1,1,2,1,1,3,1,1,2,1,1,1,1,2,1,0,1,0,0,0,5,0,50,2,77,36,20,4,1,12,1,1,2,7,4,4,2016
"78",1,0,0,0,0,0,0,0,1,0,0,0,1,2,2,2,2,2,2,0,0,1,0,0,0,5,0,40,1,78,37,18,4,0,12,1,2,2,7,4,4,2016
"79",3,1,2,2,1,3,1,1,1,1,3,2,1,2,1,2,2,2,2,1,0,1,0,2,0,2,1,-1,5,79,78,19,4,0,13,2,1,2,-1,3,4,2016
"80",3,0,0,0,0,0,0,0,9,0,0,0,2,1,2,1,2,1,2,0,0,1,0,0,0,5,0,37,1,80,41,12,1,9,13,2,2,1,-1,1,8,2016
"81",1,0,0,0,0,0,0,0,3,0,0,0,3,1,2,2,2,3,2,0,0,1,2,2,0,1,0,45,1,81,42,14,2,1,13,4,3,1,2,0,0,2016
"82",3,0,0,0,0,0,0,0,5,0,0,0,1,1,1,1,2,1,2,0,0,1,1,0,0,4,0,60,1,82,35,14,2,7,12,2,1,2,7,1,7,2016
